N89 ACTB 0.076650120342225306
N8 CCT8 0.076565737844324716
N77 EWSR1 0.073947945657939482
N83 ZNF219 0.073085349902558702
N80 TRAPPC3 0.072354545971740014
N63 HGS 0.065384719507973768
N99 RPS2 0.062904190760583428
N86 CEBPA 0.061745506913114478
N88 POLR2G 0.059098060850434488
N73 JUN 0.05891169911868889
N68 CRK 0.058880441135784903
N91 ERBB2 0.05787411105801113
N82 RPL13 0.055575607403401416
N71 SNF8 0.055206637803864936
N75 KLF4 0.054825230341672124
N62 FASN 0.053281668893876748
N66 CTBP1 0.049594363479349063
N92 RRAS 0.046211555446453528
N47 GNB2L1 0.043973978277086032
N50 APH1A 0.04326943166529032
N52 GRB2 0.042001793308829902
N61 BCL3 0.041604489284878879
N94 ACOT9 0.0415076324663292
N57 RAB4A 0.041143109082016488
N107 SHC1 0.040829608252793789
N48 NCAPH2 0.039008985146596328
N37 AKT1 0.032199161846014714
N32 QARS 0.025792681043657142
N117 GNA11 0.023649229223245485
N132 CDC42EP4 0.01956380482295763
N240 PHC2 0.016143408775456714
N143 CEBPG 0.015793321840947346
N142 KDR 0.015431907267968913
N148 FAM46A 0.014700779294218541
N229 ECHS1 0.01396780618433845
N206 PRKCZ 0.01203520409259488
N133 PPP1CA 0.011295407603035953
N186 ILK 0.010934828790202812
N224 RPL18 0.010724765478538886
N207 CHMP6 0.0078952026684317774
N151 PALM2-AKAP2 0.0067715415253213921
N256 RPL10 0.0062444402804014282
N210 KIAA0182 0.0059333471411374744
N14 BCL2L1 0.0054748504560289176
N176 PB2 0.0053519297023533743
N149 CDC42 0.0050201497558643327
N250 HSPB1 0.0047974795984354291
N161 COL4A2 0.0042178697816219694
N201 MUC1 0.001302554143276875
N26 RELA 7.1869184527905618e-13
