Hsp83 ACTB 0.18034221896366237
Hrb87F TERT 0.1552188125424265
MBD-R2 ACTG1 0.095951256666137408
Nc73EF SMARCA4 0.051751568718353388
MED7 AKT1 0.04761141010025495
Mcm6 NCAPH2 0.046661885827362387
Nopp140 NFIL3 0.0434982069220251
Nup160 COL4A2 0.042572065832273819
Nurf-38 KDR 0.03723756531869668
Nup98-96 BHLHE40 0.034269327318894011
Parp PABPN1 0.033428297776470509
Rm62 JUN 0.033113366015383471
Prp8 HSPB1 0.032757418437637513
Hrb27C TPM2 0.032359817640029175
Gnf1 RPS8 0.027996744760233921
RpS3 RPS2 0.027528317923296224
RpL13 RPL18 0.02637364422589281
RpL14 PA 0.02188689933230626
Rrp6 ACOT9 0.021414471953992133
Rpd3 ZNF219 0.021414471953992133
RpS9 ZBTB16 0.020596619612387609
Ef1alpha48D SHC1 0.015847447836199121
S6k TGM2 0.015760976271237171
RpS13 CDC42 0.014710682793962367
RpS11 CCT8 0.014366861518770774
TfIIFbeta CEBPA 0.014247843080544161
Droj2 BCL2L1 0.013676991552078438
Tsc1 BATF 0.013534586946711519
RpS6 RRAS 0.012760669485077885
SmD2 AKAP8L 0.012394733280123736
beta'COP RPL10 0.012269880490470899
DNApol-alpha73 RPL13 0.010151191077791156
T-cp1 CCND1 0.010047977209978869
Caf1 SIAH1 0.0097142437208585647
Syp BCL3 0.0090506878317422358
CG10754 STAU1 0.0075048286685549144
Tcp-1eta RARA 0.0069420747463214017
eIF3-S10 TNFRSF1A 0.0054776268777443427
l(3)72Ab SNF8 0.0031434508903058927
lkb1 ATF4 0.0020719987755988566
zip STUB1 0.00034700445732568246
